,Tag,Latitude,Longitude,Aprox_Elev,Phase,easting,northing
119,tower339,45.633540999999994,-120.625964,1471.51,2.0,685035.7765402092,5056073.944336075
120,tower340,45.631024,-120.62638799999999,1462.94,2.0,685011.015868983,5055793.332113232
121,tower341,45.629087,-120.62640900000001,1457.54,2.0,685015.7554530092,5055578.087468337
122,tower342,45.626888,-120.62637600000001,1449.21,2.0,685025.5664219097,5055333.860031224
123,tower343,45.624632,-120.627199,1433.31,2.0,684968.8372884186,5055081.323411982
124,tower344,45.622713,-120.627852,1419.34,2.0,684924.2466794967,5054866.619772448
125,tower345,45.619345,-120.632598,1521.69,2.0,684565.3261554384,5054481.499699954
126,tower346,45.617005999999996,-120.637681,1466.69,2.0,684176.7159429757,5054209.946282916
127,tower347,45.614683,-120.640151,1511.69,2.0,683991.7470712286,5053946.192320801
128,tower352,45.64015,-120.61457800000001,1451.89,2.0,685901.3397004111,5056834.554093539
129,tower353,45.633555,-120.59663799999998,1395.96,2.0,687321.4124142078,5056143.661668244
130,tower354,45.635426,-120.596622,1387.57,2.0,687316.4224615839,5056351.562822231
131,tower355,45.637547,-120.60543500000001,1383.5,2.0,686622.5115178246,5056566.628997258
132,tower356,45.635487,-120.610721,1421.81,2.0,686217.3745027303,5056325.464956823
133,tower357,45.633736,-120.610722,1428.35,2.0,686223.0992725884,5056130.930569025
134,tower358,45.631818,-120.61141599999999,1446.45,2.0,686175.362853445,5055916.232035661
135,tower359,45.629988,-120.61528100000001,1451.87,2.0,685880.1661761127,5055703.947688353
136,tower360,45.626559,-120.61498700000001,1471.89,2.0,685914.4240818366,5055323.6762637235
137,tower361,45.624836,-120.61496399999999,1473.8,2.0,685921.9158295429,5055132.308548278
138,tower362,45.623160999999996,-120.614984,1472.13,2.0,685925.8967010928,5054946.173770622
139,tower363,45.621433,-120.615389,1469.6,2.0,685900.0390447045,5054753.25747517
140,tower364,45.618718,-120.616904,1591.69,2.0,685790.9055323284,5054448.1136726225
141,tower365,45.61707,-120.61726200000001,1586.69,2.0,685768.440308464,5054264.195012543
142,tower366,45.615392,-120.61730700000001,1576.69,2.0,685770.4756493327,5054077.669229073
143,tower369,45.626073999999996,-120.587447,1419.89,2.0,688062.7942740093,5055334.075622563
144,tower370,45.624308,-120.588024,1422.79,2.0,688023.7237705641,5055136.523066283
145,tower371,45.622518,-120.58851999999999,1442.76,3.0,687991.04492908,5054936.494604852
146,tower372,45.620832,-120.588851,1450.46,3.0,687970.8788224139,5054748.407670497
147,tower373,45.628578000000005,-120.584966,1423.56,2.0,688247.8036475084,5055618.09107543
148,tower374,45.630367,-120.58451799999999,1400.29,3.0,688276.7308527762,5055817.897495386
149,tower375,45.632401,-120.58421299999999,1385.92,3.0,688293.6889877571,5056044.586917721
150,tower376,45.634824,-120.58023999999999,1379.24,3.0,688595.2205724738,5056323.1233804645
151,tower377,45.63657,-120.58008899999999,1352.94,3.0,688601.1287932908,5056517.4554387415
152,tower401,45.647728,-120.602671,1360.3,3.0,686804.0658965341,5057704.15961782
153,tower402,45.645947,-120.60209099999999,1393.96,3.0,686855.1846594788,5057507.647409887
154,tower403,45.644156,-120.602678,1429.99,3.0,686815.4000570156,5057307.30172185
155,tower404,45.640091,-120.599476,1336.41,3.0,687078.4546288116,5056863.163370835
156,tower405,45.669553,-120.57201200000002,1052.42,3.0,689119.507868621,5060200.848784341
157,tower406,45.667151000000004,-120.570751,1104.02,3.0,689225.8257775835,5059936.970868585
158,tower407,45.664714000000004,-120.56960600000001,1130.78,3.0,689323.2337527357,5059668.931843304
159,tower408,45.662932,-120.56964199999999,1166.99,3.0,689326.4395684539,5059470.869911497
160,tower409,45.661167999999996,-120.569755,1171.05,3.0,689323.5858587855,5059274.625711165
161,tower410,45.659026000000004,-120.571832,1165.24,3.0,689169.0005794973,5059031.744324484
162,tower411,45.656928,-120.57393300000001,1166.16,3.0,689012.3847573438,5058793.698853262
163,tower412,45.654803,-120.57606000000001,1186.89,3.0,688853.8215528418,5058552.596768529
164,tower413,45.652777,-120.577995,1270.18,3.0,688709.8723028207,5058322.950309535
165,tower414,45.651084999999995,-120.578147,1296.85,3.0,688703.7148317359,5058134.614429814
166,tower415,45.649349,-120.57781100000001,1308.39,3.0,688735.7285337539,5057942.540352928
167,tower416,45.647594,-120.57777,1336.5,3.0,688744.8208656914,5057747.660242551
168,tower417,45.645813000000004,-120.57780600000001,1339.91,3.0,688748.0004882821,5057549.710156716
169,tower418,45.644013,-120.57838100000001,1339.15,3.0,688709.2415332693,5057348.379058802
170,tower419,45.642152,-120.578897,1339.16,3.0,688675.2821638177,5057140.410360514
171,tower420,45.640161,-120.57960700000001,1348.68,3.0,688626.6377703861,5056917.542351962
172,tower421,45.638379,-120.58001499999999,1346.31,3.0,688600.8237241156,5056718.6054035295
173,tower426,45.657457,-120.56193700000001,1113.03,3.0,689945.1788644644,5058880.85806766
174,tower427,45.655378000000006,-120.56238300000001,1145.15,3.0,689917.4641213876,5058648.82744886
175,tower428,45.652551,-120.564857,1170.51,3.0,689734.2662864424,5058328.888519818
176,tower429,45.645669,-120.563207,1197.78,3.0,689886.0908305363,5057568.224153444
177,tower430,45.643914,-120.563346,1230.06,3.0,689881.1919122124,5057372.9179837825
178,tower431,45.642204,-120.563511,1251.1,3.0,689874.113900071,5057182.54963761
179,tower432,45.640539000000004,-120.564035,1285.12,3.0,689838.905728659,5056996.329754075
180,tower433,45.638825,-120.564687,1314.5,3.0,689793.8850734723,5056804.3630653005
181,tower434,45.637048,-120.564775,1311.97,3.0,689793.0295529336,5056606.733982143
182,tower435,45.65215,-120.54483400000001,1083.48,3.0,691295.7044817664,5058331.977948688
183,tower436,45.650437,-120.545212,1112.8,3.0,691272.0870639696,5058140.764366452
184,tower437,45.64843,-120.54806699999999,1167.68,3.0,691056.4616508258,5057910.975453558
185,tower438,45.645978,-120.549199,1161.03,3.0,690976.5935886109,5057635.863510986
186,tower439,45.644218,-120.54885,1117.89,3.0,691009.7735893007,5057441.163806009
187,tower440,45.653673,-120.52703400000001,1100.24,3.0,692677.3575532136,5058543.8585155755
188,tower441,45.651558,-120.529098,1104.35,3.0,692523.7972843953,5058303.921980596
189,tower442,45.649839,-120.52958500000001,1117.91,3.0,692491.7444801573,5058111.774055357
190,tower443,45.64804,-120.53002,1125.06,3.0,692464.0151664834,5057910.863561419
191,tower444,45.645728000000005,-120.53145,1123.89,3.0,692360.5072244559,5057650.569638903
192,tower445,45.643719,-120.533905,1166.88,3.0,692176.0783385879,5057421.480217229
193,tower446,45.64164,-120.53605900000001,1174.37,3.0,692015.3314110973,5057185.341500525
194,tower447,45.639796000000004,-120.536045,1172.93,3.0,692022.725207851,5056980.510981316
195,tower448,45.63733,-120.53763400000001,1175.46,3.0,691907.3147619818,5056702.735694358
196,tower449,45.635142,-120.539825,1215.8,3.0,691744.0254106991,5056454.406764272
197,tower450,45.632946000000004,-120.542133,1253.23,3.0,691571.6306083826,5056204.9139579935
198,tower451,45.630759000000005,-120.54435,1258.01,3.0,691406.2837158735,5055956.643719321
199,tower452,45.628463,-120.54659199999999,1271.61,3.0,691239.3452759285,5055696.209018809
200,tower453,45.625997,-120.54839199999999,1329.67,3.0,691107.4244085436,5055417.947047006
201,tower454,45.647034000000005,-120.51703700000002,1080.7,3.0,693479.1190451658,5057830.385224188
202,tower455,45.644641,-120.518948,1100.16,3.0,693338.4476387776,5057559.913031337
203,tower456,45.642238,-120.521025,1103.51,3.0,693184.8614803287,5057287.933052883
204,tower457,45.639897999999995,-120.52206299999999,1147.1,3.0,693112.0155196555,5057025.461220273
205,tower458,45.637576,-120.522828,1143.73,3.0,693060.3768341732,5056765.648293269
206,tower459,45.63066,-120.52908300000001,1216.75,3.0,692596.5978934589,5055982.239278013
207,tower460,45.628407,-120.53130700000001,1225.4,3.0,692430.9636796996,5055726.5917266095
208,tower461,45.625796,-120.533009,1230.47,3.0,692307.2303223438,5055432.429144724
209,tower462,45.623978,-120.53300800000001,1238.36,3.0,692313.5281672681,5055230.456467544
210,tower463,45.621978000000006,-120.53204299999999,1246.27,3.0,692395.5984739263,5055010.578733604
211,tower464,45.620145,-120.53216,1273.24,3.0,692392.7505285875,5054806.656338403
212,tower465,45.618058000000005,-120.53153,1306.71,3.0,692449.0084785244,5054576.309336326
213,tower466,45.615926,-120.53081100000001,1301.71,3.0,692512.3627584826,5054341.177257251
214,tower467,45.613766,-120.529951,1306.71,3.0,692586.8103820145,5054103.273930963
215,tower468,45.640516,-120.511508,1080.7,3.0,693932.4495074908,5057119.624111644
216,tower469,45.638587,-120.511426,1085.42,3.0,693945.4989658064,5056905.515412831
217,tower470,45.637074,-120.510928,1104.6,3.0,693989.5337258494,5056738.630855942
218,tower471,45.635086,-120.51088899999999,1126.52,3.0,693999.4370995546,5056517.863405999
219,tower472,45.632791,-120.51254399999999,1157.0,3.0,693878.3676505829,5056258.887374631
220,tower473,45.630586,-120.514403,1164.76,3.0,693741.0763690196,5056009.419420419
221,tower474,45.628256,-120.516056,1180.78,3.0,693620.2612290111,5055746.565615274
